"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Instruments","Wisconsin","2010",13.7665165864342,77,"WI","05","WI05",67736,16.8700221175905,165,181.298385934573,9.30511434540768,29.7013664823586,16.3825873734349,76.471243730308,42.1797708435778,22.7147523676165
"Instruments","Rhode Island","1990",19.5006902061813,5,"RI","05","RI05",37762,0.499248438207466,40,11.7178027573618,4.2605977293295,1.17933344219926,10.0644588974527,6.10608959402303,52.1095099521696,7.80027608247251
"Instruments","Nevada","1990",NA,2,"NV","05","NV05",37762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Connecticut","2010",16.4461287943816,136,"CT","05","CT05",67736,57.7363918187591,264,480.002882259692,12.0283427355593,97.5759756534402,20.3282061961973,205.206676101083,42.7511341463284,43.4177800171676
"Instruments","Georgia","1995",11.1946468044481,21,"GA","05","GA05",51957,1.55532831281005,158,61.9653168083778,2.50999816174549,4.75693728276798,7.67677392415888,38.1568664730855,61.5777800202042,17.687541951028
"Instruments","Kansas","1990",NA,3,"KS","05","KS05",37762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","South Carolina","1985",NA,2,"SC","05","SC05",26595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","California","1990",14.0890559087781,80,"CA","05","CA05",37762,65.856641490523,1188,841.916102224144,7.82223327437797,125.070346819644,14.8554406417976,439.345018999998,52.1839430127719,167.377984196284
"Instruments","California","1995",19.3952449725412,193,"CA","05","CA05",51957,123.822540675581,1752,1009.34188403709,12.267651093634,214.575899769071,21.2589909487187,479.838625449424,47.5397516974332,339.804691918921
"Instruments","New York","2010",20.3683658853022,129,"NY","05","NY05",67736,299.355234813059,606,1609.95561320075,18.5940054718597,466.701230081101,28.988453237742,682.99687561529,42.4233357749177,123.432297264931
"Instruments","Hawaii","2005",NA,2,"HI","05","HI05",54919,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Virginia","2010",15.2686869356483,45,"VA","05","VA05",67736,20.7561477066784,171,155.676610462603,13.332862043309,32.5358168189338,20.8996179466213,78.1760636729268,50.2169615850588,26.1094546599586
"Instruments","Florida","2010",16.1658625360347,119,"FL","05","FL05",67736,25.1371134806395,397,279.244920017294,9.00181585365378,43.5633895551752,15.6004232959645,126.597296779236,45.3355773746559,64.1784742680578
"Instruments","District of Columbia","1980",NA,2,"DC","05","DC05",30554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Alabama","2010",22.9708892566981,4,"AL","05","AL05",67736,0.442721736458903,37,34.7029110822885,1.27574812213623,1.74910966499232,5.04023901869438,19.5792017214334,56.4194792621478,8.49922902497829
"Instruments","Colorado","2005",10.3162550635919,32,"CO","05","CO05",54919,8.61551233263308,92,164.002257770092,5.25328885698075,16.3784746078429,9.98673727455825,86.325775118502,52.6369431081362,9.49095465850458
"Instruments","Connecticut","2005",17.3282320683127,141,"CT","05","CT05",54919,34.2198547096003,214,341.863861267234,10.0097900324278,58.5465024216839,17.1256775152137,152.173827739598,44.5129903978486,37.0824166261893
"Instruments","Indiana","1980",7.82995294574702,3,"IN","05","IN05",30554,2.64409895620561,79,97.0862516212711,2.72345353955997,4.11583211997509,4.23935629529787,66.3506696806995,68.341983105425,6.18566282714014
"Instruments","Connecticut","1980",6.51337473200628,4,"CT","05","CT05",30554,5.98473710865368,203,169.243406830955,3.53617149448627,10.9784040674672,6.48675435754651,97.9921300483477,57.9001166918276,13.2221507059727
"Instruments","Tennessee","1985",NA,3,"TN","05","TN05",26595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Kansas","1980",NA,1,"KS","05","KS05",30554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Texas","2000",19.0005821085582,116,"TX","05","TX05",61681,54.849222825895,679,601.897487630302,9.11271835372479,85.6836426704753,14.2355873602024,323.208626239909,53.6982846551489,129.01395251711
"Instruments","Kansas","2005",19.7656796835617,35,"KS","05","KS05",54919,2.20394078394404,35,28.8736369313542,7.63305568045969,5.1374286320804,17.7928005546873,12.9650138622659,44.9026005732829,6.91798788924658
"Instruments","Michigan","1980",10.5784800766445,27,"MI","05","MI05",30554,7.4839822847493,132,210.182014699524,3.56071488583282,13.3396716835843,6.34672367312432,132.430781792595,63.0076659898412,13.9635937011708
"Instruments","Michigan","1985",14.5430490334225,39,"MI","05","MI05",26595,11.968104822483,144,273.399961569871,4.37750786567845,20.8224712004563,7.61612074884467,167.361549127795,61.2149131868197,20.9419906081284
"Instruments","New Jersey","1980",7.61613302330445,23,"NJ","05","NJ05",30554,21.4960678958799,241,348.321227842629,6.17133444005652,35.9730664761125,10.3275550269836,190.69806928876,54.7477598393506,18.3548805861637
"Instruments","South Carolina","2005",3.5524404058228,47,"SC","05","SC05",54919,4.0603883901244,53,55.2063938127492,7.35492414863495,5.41028350512898,9.80010308856571,30.1339423871991,54.5841528599175,1.88279341508608
"Instruments","Massachusetts","1990",9.59606765568228,35,"MA","05","MA05",37762,14.4751296248295,422,276.411730796945,5.23680003851323,30.8265499728123,11.1524029330933,141.089506559325,51.0432412374607,40.4954055069792
"Instruments","Arizona","1985",6.25024174450982,5,"AZ","05","AZ05",26595,1.82627941068264,71,78.539270788298,2.32530731741241,3.6099794407675,4.59640050707648,51.4170103101546,65.4666255416971,4.43767163860197
"Instruments","Wyoming","2010",11.0595561237422,66,"WY","05","WY05",67736,0.0224570306537098,66,3.24326271797089,0.692420954037292,0.179404576444942,5.53160789136394,1.44561681272281,44.5729174116134,7.29930704166986
"Instruments","Illinois","2000",19.6167477850224,132,"IL","05","IL05",61681,44.524695917335,222,607.522697795071,7.32889422550496,92.0246844612834,15.1475302561165,273.914331606661,45.0870942930691,43.5491800827497
"Instruments","Utah","2005",12.5638097799515,9,"UT","05","UT05",54919,2.78203813440464,78,46.4288081856175,5.99205157987762,5.40643022256309,11.6445595608415,24.6171955282384,53.0213815306682,9.79977162836219
"Instruments","Wyoming","2005",11.2288304384788,56,"WY","05","WY05",54919,0.0128641517775672,77,2.30989095450833,0.556915977027382,0.110010570217491,4.76258716900801,1.07201699289932,46.4098528463868,8.64619943762865
"Instruments","California","1980",9.37652943099672,21,"CA","05","CA05",30554,30.3263560594504,764,599.784911370514,5.05620523033072,58.2116833656175,9.70542643905516,342.695696844935,57.1364318021726,71.6366848528149
"Instruments","Hawaii","1980",NA,1,"HI","05","HI05",30554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","New York","2000",12.2400301341498,191,"NY","05","NY05",61681,197.275670292737,1319,1396.17716289571,14.1297018412464,317.797745905336,22.7619928438175,614.028371136384,43.9792590406559,161.445997469436
"Instruments","New York","2005",19.6842533963838,183,"NY","05","NY05",54919,180.471346626926,627,1146.62986981794,15.7392853070871,282.246381825877,24.6152999547005,506.485709292262,44.171682826707,123.420268795327
"Instruments","Pennsylvania","2005",16.3489512232163,64,"PA","05","PA05",54919,73.2031746379806,273,661.321780275736,11.0692217950933,112.985745340573,17.0848365667715,321.787893896798,48.6582936619189,44.6326368393804
"Instruments","Missouri","1995",2.53266502265777,4,"MO","05","MO05",51957,7.98991341938325,45,85.6352980736898,9.33016361139757,13.2794029815578,15.5069267933543,43.9137143265653,51.2799223151851,1.139699260196
"Instruments","Texas","2010",25.7642087496194,408,"TX","05","TX05",67736,81.3491383802823,1172,694.05822164577,11.7207945736,124.208450412731,17.8959698969064,359.511860152691,51.7985161677368,301.95652654554
"Instruments","New Jersey","1985",9.78132450055748,25,"NJ","05","NJ05",26595,34.6346138265453,304,453.088293221886,7.64412021777489,56.4821480505076,12.4660356260512,240.997779064919,53.1900255800469,29.7352264816947
"Instruments","Oregon","2000",15.9277703472241,9,"OR","05","OR05",61681,1.17722978365781,153,72.2839506172839,1.62861848806631,7.13389331192714,9.86926316423738,38.0107570143365,52.5853342128311,24.3694886312529
"Instruments","Maine","2005",16.5652564547278,22,"ME","05","ME05",54919,1.97437532698051,52,16.1692366815583,12.2106897552706,2.2608582217998,13.982467239028,6.84320040636744,42.3223466953909,8.61393335645847
"Instruments","Utah","2010",8.3461122851006,8,"UT","05","UT05",67736,4.70542363885455,146,65.1895806312149,7.21806091294511,9.04975627070239,13.8822127448525,33.1963317497976,50.9227570239993,12.1853239362469
"Instruments","District of Columbia","2000",NA,5,"DC","05","DC05",61681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","California","1985",10.9315145931253,39,"CA","05","CA05",26595,49.4951896305584,1107,780.186506220877,6.34402021002731,92.8471365971355,11.900633484021,433.087246990823,55.5107328231864,121.011866545897
"Instruments","Kansas","1985",NA,2,"KS","05","KS05",26595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Delaware","2005",12.8402221118258,47,"DE","05","DE05",54919,16.9033626988003,89,130.970817120623,12.9062054207332,23.0494353682883,17.5989093410481,68.1034487511653,51.9989492685556,11.4277976795249
"Instruments","Illinois","1995",18.8471099413878,83,"IL","05","IL05",51957,26.2628656006097,200,415.667963683528,6.31823183289756,52.5175294827373,12.6344905239611,203.718889462395,49.0100049224622,37.6942198827756
"Instruments","Louisiana","1995",NA,1,"LA","05","LA05",51957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Kansas","2010",15.4826459898289,15,"KS","05","KS05",67736,3.63776465760632,30,40.5407839746361,8.97309894125938,8.24726420757694,20.3431295574766,17.4833441453069,43.1253232701301,4.64479379694867
"Instruments","Pennsylvania","1995",19.7480578515536,43,"PA","05","PA05",51957,46.7968315846833,211,550.95249075275,8.49380525002186,73.488698735815,13.3384819869694,290.13992045338,52.6615135285023,41.6684020667781
"Instruments","Wisconsin","1990",5.85094750649932,12,"WI","05","WI05",37762,3.62095413658023,83,89.7294759091128,4.03541210944763,6.78771604439156,7.56464470077464,46.8160665404619,52.1746795756191,4.85628643039443
"Instruments","Wisconsin","1980",4.28704834689593,0,"WI","05","WI05",30554,1.78075226921526,32,63.9236921746649,2.78574689388957,3.17245814466339,4.96288314510209,36.5172332740673,57.1262892235444,1.3718554710067
"Instruments","Utah","1990",10.0521722796812,2,"UT","05","UT05",37762,1.0123666693332,46,32.2640870442427,3.13775086195675,2.02270192558982,6.26920551886733,20.322955405024,62.989401736847,4.62399924865334
"Instruments","Oregon","1990",4.51271054995404,5,"OR","05","OR05",37762,0.445924047563531,72,41.2530864197531,1.08094711514727,2.24316799787316,5.43757617320743,25.8841296184409,62.7447104322523,3.24915159596691
