"","organization","organization_cleaned","eq_firm","name_diff","match"
"373","mitsubishi gas chemical","mitsubishi gas","mitsubishi gas",0,1
"374","mitsubishi materials","mitsubishi materials","mitsubishi materials",0,1
"375","mitsui","mitsui","mitsui",0,1
"376","mitsui chemicals","mitsui chemicals","mitsui chemicals",0,1
"377","mitsui  shipbuilding","mitsui  shipbuilding","mitsui  shipbuilding",0,1
"378","mitsumi electric","mitsumi electric","mitsumi electric",0,1
"379","mitutoyo","mitutoyo","mitutoyo",0,1
"380","miyata","miyata","miyata",0,1
"381","mizuno","mizuno","mizuno",0,1
"382","modec","modec","modec",0,1
"383","murata manufacturing","murata manufacturing","murata manufacturing",0,1
"384","nhk sales","nhk","nhk",0,1
"385","nhk spring","nhk spring","nhk spring",0,1
"386","nichia","nichia","nichia",0,1
"387","nichirei","nichirei","nichirei",0,1
"388","nidec","nidec","nidec",0,1
"389","nihon dempa kogyo","nihon dempa kogyo","nihon dempa kogyo",0,1
"390","nihon kohden","nihon kohden","nihon kohden",0,1
"391","nec","nec","nec",0,1
"392","nikken sekkei","nikken sekkei","nikken sekkei",0,1
"393","nikon","nikon","nikon",0,1
"394","nintendo","nintendo","nintendo",0,1
"395","nippon cable","nippon cable","nippon cable",0,1
"396","nippon flour mills","nippon flour mills","nippon flour mills",0,1
"397","nippon light metal","nippon light metal","nippon light metal",0,1
"398","nippon oil","nippon oil","nippon oil",0,1
"399","nippon paint","nippon paint","nippon paint",0,1
"400","nippon sheet glass","nippon sheet glass","nippon sheet glass",0,1
"401","nippon soda","nippon soda","nippon soda",0,1
"402","nipro","nipro","nipro",0,1
"403","nissan chemical","nissan","nissan",0,1
"404","nissan motors","nissan motors","nissan motors",0,1
"405","nisshin steel","nisshin steel","nisshin steel",0,1
"406","nissin electric","nissin electric","nissin electric",0,1
"407","nissin foods","nissin foods","nissin foods",0,1
"408","nissin kogyo","nissin kogyo","nissin kogyo",0,1
"409","nitto boseki","nitto boseki","nitto boseki",0,1
"410","nitto denko","nitto denko","nitto denko",0,1
"411","nsk","nsk","nsk",0,1
"412","ntn","ntn","ntn",0,1
"413","ntt","ntt","ntt",0,1
"414","ntt docomo","ntt docomo","ntt docomo",0,1
"415","ohto","ohto","ohto",0,1
"416","oki electric industry","oki electric industry","oki electric industry",0,1
"417","okuma","okuma","okuma",0,1
"418","olympus","olympus","olympus",0,1
"419","omron","omron","omron",0,1
"420","orient chemical","orient","orient",0,1
"421","osaka gas","osaka gas","osaka gas",0,1
"422","panasonic","panasonic","panasonic",0,1
"423","pentax","pentax","pentax",0,1
"424","pioneer","pioneer","pioneer",0,1
"425","rakuten","rakuten","rakuten",0,1
"426","rays","rays","rays",0,1
"427","renesas electronics","renesas electronics","renesas electronics",0,1
"428","ricoh","ricoh","ricoh",0,1
"429","rinnai","rinnai","rinnai",0,1
"430","riso kagaku","riso kagaku","riso kagaku",0,1
"431","rohm","rohm","rohm",0,1
"432","rubycon","rubycon","rubycon",0,1
"433","ryobi","ryobi","ryobi",0,1
"434","sanden","sanden","sanden",0,1
"435","santen pharmaceutical","santen pharmaceutical","santen pharmaceutical",0,1
"436","sanrio","sanrio","sanrio",0,1
"437","sanyo chemical","sanyo","sanyo",0,1
"438","sato pharmaceutical","sato pharmaceutical","sato pharmaceutical",0,1
"439","secom","secom","secom",0,1
"440","sega","sega","sega",0,1
"441","seiko","seiko","seiko",0,1
"442","seiko epson","seiko epson","seiko epson",0,1
"443","shikoku electric power","shikoku electric power","shikoku electric power",0,1
"444","shimano","shimano","shimano",0,1
"445","shimadzu","shimadzu","shimadzu",0,1
"446","shimizu","shimizu","shimizu",0,1
"447","shinetsu chemical","shinetsu","shinetsu",0,1
"448","shindengen electric manufacturing","shindengen electric manufacturing","shindengen electric manufacturing",0,1
"449","shoei chemical","shoei","shoei",0,1
"450","showa","showa","showa",0,1
"451","smc","smc","smc",0,1
"452","snow brand milk","snow brand milk","snow brand milk",0,1
"453","sogo","sogo","sogo",0,1
"454","sony","sony","sony",0,1
"455","square enix","square enix","square enix",0,1
"456","stanley electric","stanley electric","stanley electric",0,1
"457","sumco","sumco","sumco",0,1
"458","sumitomo chemical","sumitomo","sumitomo",0,1
"459","sumitomo electric","sumitomo electric","sumitomo electric",0,1
"460","sumitomo metal mining","sumitomo metal mining","sumitomo metal mining",0,1
"461","sunrise associates","sunrise","sunrise",0,1
"462","suntory","suntory","suntory",0,1
"463","suzuki","suzuki","suzuki",0,1
"464","taiheiyo cement","taiheiyo cement","taiheiyo cement",0,1
"465","taisei","taisei","taisei",0,1
"466","taisho pharmaceutical","taisho pharmaceutical","taisho pharmaceutical",0,1
"467","taito","taito","taito",0,1
"468","taiyo kogyo","taiyo kogyo","taiyo kogyo",0,1
"469","taiyo yuden","taiyo yuden","taiyo yuden",0,1
"470","takata","takata","takata",0,1
"471","takeda pharmaceutical","takeda pharmaceutical","takeda pharmaceutical",0,1
"472","tamiya","tamiya","tamiya",0,1
"473","tdk","tdk","tdk",0,1
"474","teac","teac","teac",0,1
"475","teijin","teijin","teijin",0,1
"476","tenyo","tenyo","tenyo",0,1
"477","toa","toa","toa",0,1
"478","toagosei","toagosei","toagosei",0,1
"479","tohatsu","tohatsu","tohatsu",0,1
"480","toho","toho","toho",0,1
"481","toho zinc","toho zinc","toho zinc",0,1
"482","tohoku electric power","tohoku electric power","tohoku electric power",0,1
"483","tokuyama","tokuyama","tokuyama",0,1
"484","tokyo electric power","tokyo electric power","tokyo electric power",0,1
"485","tokyo electron","tokyo electron","tokyo electron",0,1
"486","tokyo gas","tokyo gas","tokyo gas",0,1
"487","tokyu","tokyu","tokyu",0,1
"488","tomy","tomy","tomy",0,1
"489","toppan printing","toppan printing","toppan printing",0,1
"490","toray","toray","toray",0,1
"491","toshiba medical systems","toshiba","toshiba",0,1
"492","tosoh","tosoh","tosoh",0,1
"493","toto","toto","toto",0,1
"494","toyo","toyo","toyo",0,1
"495","toyo seikan","toyo seikan","toyo seikan",0,1
"496","toyota","toyota","toyota",0,1
"497","toyota boshoku","toyota boshoku","toyota boshoku",0,1
"498","toyota tsusho","toyota tsusho","toyota tsusho",0,1
"499","trend micro","trend micro","trend micro",0,1
"500","tsubakimoto chain","tsubakimoto chain","tsubakimoto chain",0,1
"501","unitika","unitika","unitika",0,1
"502","unicharm","unicharm","unicharm",0,1
"503","wacom","wacom","wacom",0,1
"504","yamabiko","yamabiko","yamabiko",0,1
"505","yamaha","yamaha","yamaha",0,1
"506","yamasa","yamasa","yamasa",0,1
"507","yamamoto kogaku","yamamoto kogaku","yamamoto kogaku",0,1
"508","yamazaki mazak","yamazaki mazak","yamazaki mazak",0,1
"509","yaskawa electric","yaskawa electric","yaskawa electric",0,1
"510","yazaki","yazaki","yazaki",0,1
"511","ykk","ykk","ykk",0,1
"512","yokogawa electric","yokogawa electric","yokogawa electric",0,1
"513","yokomo","yokomo","yokomo",0,1
"514","zebra","zebra","zebra",0,1
"515","cas","cas","cas",0,1
"516","cj","cj","cj",0,1
"517","daelim","daelim","daelim",0,1
"518","doosan","doosan","doosan",0,1
"519","gs medical","gs","gs",0,1
"520","hanwha chemical","hanwha","hanwha",0,1
"521","humax","humax","humax",0,1
"522","hyosung","hyosung","hyosung",0,1
