"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"hindustan petroleum";"hindustan petroleum";"hindustan petroleum";0;1;"auto"
"hindustan zinc";"hindustan zinc";"hindustan zinc";0;1;"auto"
"itc";"itc";"itc";0;1;"auto"
"jain irrigation systems";"jain irrigation";"jain irrigation";0;1;"auto"
"jsw steel";"jsw steel";"jsw steel";0;1;"auto"
"lakshmi machine works";"lakshmi machine works";"lakshmi machine works";0;1;"auto"
"mindtree";"mindtree";"mindtree";0;1;"auto"
"mphasis";"mphasis";"mphasis";0;1;"auto"
"niit";"niit";"niit";0;1;"auto"
"oil india";"oil india";"oil india";0;1;"auto"
"persistent systems";"persistent";"persistent";0;1;"auto"
"piramal enterprises";"piramal enterprises";"piramal enterprises";0;1;"auto"
"praj";"praj";"praj";0;1;"auto"
"ranbaxy laboratories";"ranbaxy";"ranbaxy";0;1;"auto"
"reliance";"reliance";"reliance";0;1;"auto"
"steel authority of india";"steel authority of india";"steel authority of india";0;1;"auto"
"sun pharmaceuticals";"sun";"sun";0;1;"auto"
"synthite";"synthite";"synthite";0;1;"auto"
"tata chemicals";"tata chemicals";"tata chemicals";0;1;"auto"
"tata global beverages";"tata global beverages";"tata global beverages";0;1;"auto"
"tata motors";"tata motors";"tata motors";0;1;"auto"
"tata steel";"tata steel";"tata steel";0;1;"auto"
"tech mahindra";"tech mahindra";"tech mahindra";0;1;"auto"
"thermax";"thermax";"thermax";0;1;"auto"
"torrent pharmaceuticals";"torrent";"torrent";0;1;"auto"
"ttk prestige";"ttk prestige";"ttk prestige";0;1;"auto"
"welspun india";"welspun india";"welspun india";0;1;"auto"
"agip spa";"agip";"agip";0;1;"auto"
"alenia aermacchi spa";"alenia aermacchi";"alenia aermacchi";0;1;"auto"
"alpinestars spa";"alpinestars";"alpinestars";0;1;"auto"
"cassina spa";"cassina";"cassina";0;1;"auto"
"comau spa";"comau";"comau";0;1;"auto"
"fedrigoni spa";"fedrigoni";"fedrigoni";0;1;"auto"
"ferrari spa";"ferrari";"ferrari";0;1;"auto"
"fiocchi munizioni spa";"fiocchi munizioni";"fiocchi munizioni";0;1;"auto"
"italcementi";"italcementi";"italcementi";0;1;"auto"
"la sportiva spa";"la sportiva";"la sportiva";0;1;"auto"
"lagostina spa";"lagostina";"lagostina";0;1;"auto"
"laverda spa";"laverda";"laverda";0;1;"auto"
"moto guzzi spa";"moto guzzi";"moto guzzi";0;1;"auto"
"nardi spa";"nardi";"nardi";0;1;"auto"
"nordica spa";"nordica";"nordica";0;1;"auto"
"oto melara spa";"oto melara";"oto melara";0;1;"auto"
"pininfarina spa";"pininfarina";"pininfarina";0;1;"auto"
"selex es spa";"selex es";"selex es";0;1;"auto"
"soilmec spa";"soilmec";"soilmec";0;1;"auto"
"misc berhad";"misc berhad";"misc berhad";0;1;"auto"
"ocp";"ocp";"ocp";0;1;"auto"
"avebe";"avebe";"avebe";0;1;"auto"
"dsm";"dsm";"dsm";0;1;"auto"
"heerema marine contractors";"heerema marine contractors";"heerema marine contractors";0;1;"auto"
"nxp semiconductors";"nxp semiconductors";"nxp semiconductors";0;1;"auto"
"oce";"oce";"oce";0;1;"auto"
